,movie,name,point
703,스윙키즈,spec****,1
704,글래스,mrje****,10
705,말모이,korm****,8
706,클레멘타인,beth****,10
707,그린 북,ehwn****,8
708,스윙키즈,cuhy****,10
709,스윙키즈,wldn****,10
710,말할 수 없는 비밀,bhj0****,10
711,말모이,csim****,10
712,말모이,son9****,10
713,그대 이름은 장미,hsk9****,8
714,어벤져스: 인피니티 워,lees****,10
715,언더독,fflo****,10
716,판도라,kari****,1
717,말모이,srgy****,10
718,위대한 쇼맨,hain****,10
719,말모이,yse1****,10
720,스윙키즈,ddun****,1
721,극장판 공룡메카드: 타이니소어의 섬,sung****,8
722,내안의 그놈,sim8****,10
723,범블비,hyj0****,10
724,극장판 공룡메카드: 타이니소어의 섬,ju28****,10
725,미래의 미라이,rlaw****,10
726,내안의 그놈,wngu****,10
727,스윙키즈,rnlc****,10
728,말모이,sang****,2
729,너의 결혼식,wooj****,6
730,국가부도의 날,wonc****,10
731,23 아이덴티티,haha****,1
732,스윙키즈,soo9****,10
733,내안의 그놈,asel****,10
734,마약왕,real****,1
735,글래스,roxy****,10
736,튼튼이의 모험,neos****,10
737,내안의 그놈,bejh****,8
738,말모이,iiii****,10
739,왕이 될 아이,kimj****,10
740,안시성,82sd****,2
741,23 아이덴티티,hers****,10
742,보헤미안 랩소디,kmjm****,8
743,미래의 미라이,mp37****,8
744,언더독,ktm0****,9
745,범블비,khak****,8
746,극장판 공룡메카드: 타이니소어의 섬,gree****,10
747,신비아파트: 금빛 도깨비와 비밀의 동굴,hara****,10
748,튼튼이의 모험,kmbg****,10
749,23 아이덴티티,gksq****,8
750,인생 후르츠,heon****,8
751,완벽한 타인,dbsh****,10
752,내안의 그놈,alle****,6
753,아쿠아맨,haya****,10
754,극장판 공룡메카드: 타이니소어의 섬,ipai****,10
755,말모이,govl****,10
756,내안의 그놈,hoyu****,10
757,글래스,wolf****,1
758,말모이,rhqu****,10
759,스윙키즈,ilik****,1
760,내안의 그놈,govl****,10
761,엔더스 게임,pian****,10
762,내안의 그놈,icec****,8
763,극장판 공룡메카드: 타이니소어의 섬,7028****,8
764,글래스,soda****,4
765,스윙키즈,drea****,7
766,PMC: 더 벙커,eeet****,1
767,그대 이름은 장미,sjpu****,10
768,말모이,bjw2****,6
769,국가부도의 날,codm****,6
770,인생 후르츠,oes0****,10
771,위플래쉬,dndx****,10
772,보헤미안 랩소디,eeet****,8
773,미래의 미라이,free****,10
774,그린치,bjm9****,8
775,말모이,soda****,10
776,글래스,jhme****,7
777,글래스,kkkj****,8
778,도어락,y2y8****,4
779,엔더스 게임,cp51****,10
780,글래스,hyse****,9
781,성난황소,wlsq****,6
782,스윙키즈,zzun****,1
783,PMC: 더 벙커,park****,2
784,개들의 전쟁,csu5****,10
785,주먹왕 랄프 2: 인터넷 속으로,spdl****,10
786,U-571,wlsq****,8
787,스윙키즈,jmsi****,1
788,글래스,mari****,4
789,주먹왕 랄프 2: 인터넷 속으로,kimo****,10
790,범블비,kimo****,10
791,스윙키즈,scv7****,1
792,글래스,busa****,7
793,해리 포터와 마법사의 돌,dong****,10
794,스윙키즈,mari****,1
795,언니,magi****,2
796,말모이,tjd5****,7
797,스윙키즈,wkdt****,1
798,말모이,algh****,8
799,마약왕,ssak****,2
800,주먹왕 랄프 2: 인터넷 속으로,rkdx****,10
801,말모이,chs0****,10
802,영주,good****,8
803,주먹왕 랄프 2: 인터넷 속으로,dart****,10
804,말모이,yjy2****,10
805,범블비,ilov****,10
806,말모이,dmsp****,10
807,디파티드,shss****,7
808,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,blis****,9
809,글래스,sunm****,7
810,마약왕,qsli****,10
811,내안의 그놈,aaaw****,10
812,헌터 킬러,cbc3****,8
813,판타스틱 4,pont****,2
814,이차크의 행복한 바이올린,viva****,9
815,타이타닉,jmh2****,10
816,베놈,kist****,1
817,바울,shka****,10
818,주먹왕 랄프 2: 인터넷 속으로,ulov****,1
819,말모이,yjjo****,10
820,철의 심장을 가진 남자,pont****,6
821,글래스,ev96****,8
822,주먹왕 랄프 2: 인터넷 속으로,sofk****,10
